calendar_age, ci_lower, mean, ci_upper
1.0159032000e+04, 1.6628259043e-04, 2.4306313435e-04, 3.7794006715e-04
1.0168536000e+04, 1.7270413038e-04, 2.4995068212e-04, 4.0703600107e-04
1.0178040000e+04, 1.7830388943e-04, 2.5676148978e-04, 4.4157604018e-04
1.0187544000e+04, 1.8256504113e-04, 2.6338341674e-04, 4.8086058992e-04
1.0197048000e+04, 1.8708167887e-04, 2.6968654317e-04, 5.0944498669e-04
1.0206552000e+04, 1.9043701855e-04, 2.7553069965e-04, 5.4061825018e-04
1.0216056000e+04, 1.9359980426e-04, 2.8077714412e-04, 5.6155407384e-04
1.0225560000e+04, 1.9696335630e-04, 2.8530350046e-04, 5.8123939416e-04
1.0235064000e+04, 1.9941417902e-04, 2.8901968384e-04, 5.8255218433e-04
1.0244568000e+04, 2.0211927444e-04, 2.9188141769e-04, 5.7649920716e-04
1.0254072000e+04, 2.0384544482e-04, 2.9389773683e-04, 5.6638116230e-04
1.0263576000e+04, 2.0564079211e-04, 2.9512991231e-04, 5.4866639783e-04
1.0273080000e+04, 2.0747750225e-04, 2.9568132779e-04, 5.1557320182e-04
1.0282584000e+04, 2.0877487432e-04, 2.9568036639e-04, 4.8991213339e-04
1.0292088000e+04, 2.0986693240e-04, 2.9526056922e-04, 4.6863126448e-04
1.0301592000e+04, 2.0952992326e-04, 2.9454331089e-04, 4.5327284566e-04
1.0311096000e+04, 2.0848923065e-04, 2.9362707468e-04, 4.3840015205e-04
1.0320600000e+04, 2.0598231887e-04, 2.9258416961e-04, 4.2564825512e-04
1.0330104000e+04, 2.0349758737e-04, 2.9146248072e-04, 4.1603876857e-04
1.0339608000e+04, 1.9881260737e-04, 2.9028910239e-04, 4.1034989453e-04
1.0349112000e+04, 1.8842323231e-04, 2.8907438953e-04, 4.0549019855e-04
1.0358616000e+04, 1.7573341848e-04, 2.8781647928e-04, 4.0160425167e-04
1.0368120000e+04, 1.6256296555e-04, 2.8650616221e-04, 3.9915816680e-04
1.0377624000e+04, 1.5328388447e-04, 2.8513121816e-04, 3.9424860999e-04
1.0387128000e+04, 1.4561320042e-04, 2.8367940231e-04, 3.9104503196e-04
1.0396632000e+04, 1.3845806996e-04, 2.8214001197e-04, 3.8811973363e-04
1.0406136000e+04, 1.3492038433e-04, 2.8050449561e-04, 3.8536147325e-04
1.0415640000e+04, 1.3390685962e-04, 2.7876658521e-04, 3.8182458624e-04
1.0425144000e+04, 1.3140850274e-04, 2.7692222581e-04, 3.7724219328e-04
1.0434648000e+04, 1.3361505350e-04, 2.7496941145e-04, 3.7363664964e-04
1.0444152000e+04, 1.3408084962e-04, 2.7290796770e-04, 3.6936948804e-04
1.0453656000e+04, 1.3359149956e-04, 2.7073930131e-04, 3.6544464319e-04
1.0463160000e+04, 1.3709674326e-04, 2.6846613131e-04, 3.6278201855e-04
1.0472664000e+04, 1.4005445785e-04, 2.6609221240e-04, 3.5983427003e-04
1.0482168000e+04, 1.4149395988e-04, 2.6362205812e-04, 3.5671692959e-04
1.0491672000e+04, 1.4289126556e-04, 2.6106066871e-04, 3.5218199321e-04
1.0501176000e+04, 1.4395174360e-04, 2.5841326625e-04, 3.4833100511e-04
1.0510680000e+04, 1.4434917255e-04, 2.5568503707e-04, 3.4519851553e-04
1.0520184000e+04, 1.4422123893e-04, 2.5288088202e-04, 3.4174140112e-04
1.0529688000e+04, 1.4399514276e-04, 2.5000517833e-04, 3.3772281123e-04
1.0539192000e+04, 1.4242609592e-04, 2.4706156648e-04, 3.3420702707e-04
1.0548696000e+04, 1.4068955653e-04, 2.4405278696e-04, 3.3208101642e-04
1.0558200000e+04, 1.3748991075e-04, 2.4098060240e-04, 3.2843695643e-04
1.0567704000e+04, 1.3455360761e-04, 2.3784583958e-04, 3.2593221306e-04
1.0577208000e+04, 1.2991959666e-04, 2.3464857033e-04, 3.2411129665e-04
1.0586712000e+04, 1.2481979841e-04, 2.3138842070e-04, 3.2194889643e-04
1.0596216000e+04, 1.2102884288e-04, 2.2806496448e-04, 3.2064226795e-04
1.0605720000e+04, 1.1670133324e-04, 2.2467813455e-04, 3.1844550661e-04
1.0615224000e+04, 1.1390516970e-04, 2.2122858418e-04, 3.1710627541e-04
